상품명,상품설명,가격,할인정보,판매단위,중량/용량,배송구분,포장타입
[메이티엔] 대만 샌드위치 크림치즈,고소함과 달콤함을 동시에,"1,990원",X,1개,75g,샛별배송/택배배송,냉장/종이포장
[정미경키친] 모둠숙쌈&오이&당근&오이고추 세트,맛있게 즐기는 다양한 채소,"6,417원",7%,1팩,370g,샛별배송/택배배송,냉장/종이포장
[올반] 숙성 고추장돼지불백 180gx3팩,황금비율 양념에 24시간 저온숙성한,"10,430원",12%,1묶음,180g,샛별배송/택배배송,냉동/종이포장
[칼만스] 넛바 2종,오독오독 고소한 견과류가 듬뿍,"9,900원",X,1상자,5개입,샛별배송/택배배송,냉장/종이포장
[비비고] 볶음밥 3종,간단하게 준비하는 한 끼,"4,980원",6%,1팩,410g,샛별배송/택배배송,기타
[LOTS OF LOVE] 자연듬뿍 시래기밥,양구산 시래기가 듬뿍 들어간 별식,"6,800원",X,1봉,460g(230g*2),샛별배송/택배배송,냉동/종이포장
[이연복의 목란] 짜장면 2인분,대가가 선보이는 한 그릇,"9,800원",X,1팩,1040g,샛별배송/택배배송,냉동/종이포장
[하림이닭] 냉동 저염 닭가슴살 2종,저염이라 더 안심하고 먹는 닭가슴살!,"1,700원",X,1팩,100g,샛별배송/택배배송,냉동/종이포장
고구마는 원래 노랗다,포장만 벗겨 바로 먹는 미니 고구마,"2,700원",X,1팩,120g,샛별배송/택배배송,냉동/종이포장
[우주인피자] 허니 고르곤졸라,달콤 짭조름한 블루치즈의 풍미,"11,900원",X,1개,338g,샛별배송/택배배송,냉동/종이포장
[햇반] 발아 현미밥 2종,CJ즉석밥 고소한 맛의 발아 현미밥,"1,880원",X,제품별상이(하단참조),제품별상이(하단참조),샛별배송/택배배송,상온/종이포장
[라쿠치나] 이탈리안 라자냐,라쿠치나 레시피 그대로! 겹겹이 쌓아 올린 진한 풍미,"12,870원",10%,1박스,380g,샛별배송/택배배송,냉동/종이포장
[풀치넬라] 트러플&모르따델라 피자,쫄깃한 도우와 향긋한 트러플의 풍미,"13,900원",X,1팩,350g,샛별배송/택배배송,냉동/종이포장
[델리샌드] 샌드위치 5종,취향 따라 즐기는 샌드위치,"2,200원",X,1개,옵션별,샛별배송/택배배송,냉장/종이포장
[밥리] 오리지널 밥핫도그,소세지를 감싸는 쫀득한 밥알,"2,500원",X,1개,140g,샛별배송/택배배송,냉동/종이포장
[강창구찹쌀진순대] 양념 오돌뼈,오도독 중독성 있는 간편 안주,"4,450원",X,1팩,200g,샛별배송/택배배송,냉동/종이포장
[하코야] 장어 텐동,폭신한 장어 튀김을 올린 한 그릇,"10,900원",X,1팩,726g,샛별배송/택배배송,냉동/종이포장
[세이면] 육개장,부드러운 숙면에 시원한 파맛과 고소한 소고기향이 가득,"2,200원",X,1컵,198g,샛별배송/택배배송,상온/종이포장
[삼창교자] 순새우만두,탱글탱글한 새우가 듬뿍 들어간 중국식 교자만두,"5,900원",X,1팩,150g/6개입,샛별배송/택배배송,냉동/종이포장
[비비고] 얼큰 버섯칼국수,쫄깃한 버섯과 탱글한 면의 조화,"6,980원",X,1팩,컨텐츠참조,샛별배송/택배배송,냉동/종이포장
[키플] 코코넛크림 치킨 커리,담백한 닭가슴살 볼과 인도풍 커리,"7,500원",X,1팩,250g,샛별배송/택배배송,냉동/종이포장
[위드진해] 한우 대창,"쫄깃한 식감, 고소한 풍미","26,000원",X,1팩,310g,샛별배송/택배배송,냉동/종이포장
[무빙마운틴] 식물성 소시지 버거패티 216g,식물성 재료로만 만든 소시지 패티,"11,480원",X,1팩,216g,샛별배송/택배배송,냉동/종이포장
[더플랜] 목련 짜장 오당볶이,"[극한직업 ""어묵""편 방송] 맛도 재료도 색다른 떢볶이 ","5,900원",X,1개,470g,샛별배송/택배배송,냉동/종이포장
[올반] 슈퍼크런치 치킨텐더,"귀리,렌틸콩을 담은 슈퍼크런치 치킨텐더 !","7,480원",X,1개,440g,샛별배송/택배배송,냉동/종이포장
[베지가든 : 맛있는 채식 일상] 숯불향 떡갈비,맛있는 채식일상 육즙 가득한 떡갈비,"12,800원",X,1팩,480g,샛별배송/택배배송,냉동/종이포장
[그린밤] 크루아상 샌드위치 3종,부드러운 빵 속 신선함 가득,"6,900원",X,1개,옵션별,샛별배송/택배배송,냉장/종이포장
[비첸향] 미니이지 육포 4종,싱가폴에서 온 프리미엄 육포 브랜드 비첸향!,"19,500원",X,1박스,170g,샛별배송/택배배송,상온/종이포장
[잊지마] 군고구마 곡물쉐이크,간편하게 챙기는 영양 선식,"2,500원",X,1팩,50g,샛별배송/택배배송,상온/종이포장
[쉐푸드] 우유 핫도그,파스퇴르 1급 원유로 만든 핫도그,"8,900원",X,1봉,630g/70gx9개입,샛별배송/택배배송,냉동/종이포장
[저스트그린] 쉬림프 누들 샐러드 210g,탱글한 새우와 카펠리니의 만남(210g/1팩),"6,500원",X,1팩,210g,샛별배송/택배배송,냉장/종이포장
[Kurly's] 동물복지 반숙란 20구,온 가족이 즐기는 영양 간식(1구당: 595원),"11,900원",X,1팩,20개입,샛별배송/택배배송,냉장/종이포장
[쉐푸드] 불고기크레미불닭 유부초밥,풍성한 토핑으로 즐기는 유부초밥,"3,650원",X,1팩,234g,샛별배송/택배배송,냉장/종이포장
[하림] 순수한 밥 2종,첨가물 없이 담아낸 국산 쌀,"1,450원",X,1개입,210g,샛별배송/택배배송,기타
[My little recipe] 안동에서 올라온 전통찜닭 (2인용),집에서 간편하게 즐기는 안동 찜닭,"16,800원",X,1팩,1300g,샛별배송/택배배송,냉장/종이포장
[오뚜기] 진라면 순한맛 컵 65g*6입,순한 맛 마니아를 위한 컵라면,"4,500원",X,1박스,390g(65g,샛별배송/택배배송,상온/종이포장
[애슐리] 오리지널 통살치킨,한입에 쏙 들어가는 순살 치킨,"7,900원",X,1팩,500g,샛별배송/택배배송,냉동/종이포장
[생어거스틴] 치킨 그린 커리 밀키트,매콤 달콤한 그린커리의 풍미,"16,900원",X,1팩,688g,샛별배송/택배배송,냉동/종이포장
[삼창교자] 어만두,삼치살을 넣어 고소한 맛이 일품!,"5,900원",X,1팩,150g/6개입,샛별배송/택배배송,냉동/종이포장
[웰어게인] 라바쉬 샐러드 5종,납작한 빵을 가득 채워 즐기는 샐러드,"5,900원",X,1개,옵션별,샛별배송/택배배송,냉장/종이포장
[폰타나] 컵수프 4종,뜨거운 물만 부으면 완성,"2,600원",X,1상자,60g,샛별배송/택배배송,상온/종이포장
[체리부로] 골든치킨 텐더스틱,부드럽게 즐기는 순살치킨,"7,400원",X,1팩,460g,샛별배송/택배배송,냉동/종이포장
[삼창교자] 성게알 우니만두,돼지고기의 육즙과 신선한 성게알의 만남,"7,900원",X,1팩,150g/6개입,샛별배송/택배배송,냉동/종이포장
[삼립] 미니꼬마단팥호빵 40gx6입,호빵 1개가 크다고 생각하시면 바로 이것! (1봉/6개입),"2,000원",X,1봉,40g,샛별배송/택배배송,냉동/종이포장
[3분포차] 직화고추장불고기,매콤하고 야들야들한 인기 안주!,"3,675원",25%,1개,150g,샛별배송/택배배송,냉동/종이포장
부산완당,간편하게 맛보는 부산 명물,"5,600원",13%,1팩,426g,샛별배송/택배배송,냉동/종이포장
[쉐푸드] B.E.L.T 샌드위치 & 닭가슴살 흑임자 샌드위치,풍성함과 신선함을 모두 담은 샌드위치,"3,900원",X,1팩,제품별상이(하단참조),샛별배송/택배배송,냉장/종이포장
[더오담] 에어프라이어 돈까스 4종,(신제품 출시) 골라먹는 재미! 에어프라이어로 간편하게 ,"2,600원",X,1개,130g,샛별배송/택배배송,냉동/종이포장
[프로틴방앗간] 하루단백바 카카오 (낱개/박스),촉촉하고 부드러운 단백질바,"2,500원",X,1개/1박스,45g/450g,샛별배송/택배배송,냉장/종이포장
[루토사] 트러플오일 감자튀김 2종,트러플 오일이 동봉되어 고급스럽게 즐기는 감자튀김!,"3,300원",X,1봉,400g,샛별배송/택배배송,냉동/종이포장
[마이비밀] 홈슐랭 도시락 5종,가볍게 즐기는 별미 요리 한 끼,"4,300원",X,1팩,해당사항없음,샛별배송/택배배송,냉동/종이포장
[심플로트] 포테이토 칩,도톰해서 더 바삭한 식감,"4,200원",X,1봉,400g,샛별배송/택배배송,냉동/종이포장
[헬라] 카레케찹 엑스트라핫 300mL,카레의 매콤함을 더한 이색 소스,"5,480원",X,1팩,300ml,샛별배송/택배배송,상온/종이포장
[누리웰] 야채 계란찜 (냉장),기본에 충실한 달걀 반찬,"2,500원",X,1팩,150g,샛별배송/택배배송,냉장/종이포장
[모노키친] 광둥식 레몬크림새우,달큰해서 아이들 간식으로도 제격,"8,900원",X,1팩,370g,샛별배송/택배배송,냉동/종이포장
[사조대림] 안심 닭가슴살캔 오리지널,간편하게 활용하는,"1,200원",X,1캔,90g,샛별배송/택배배송,상온/종이포장
[최현석의 쵸이닷] 새우 봉골레 파스타,이탈리안 레스토랑의 봉골레,"7,743원",13%,1팩,260g,샛별배송/택배배송,냉동/종이포장
[풀무원] 육즙 듬뿍 만두 (렌지용),정통 중국식 딤섬 샤오룽바오의 풍미가 그대로,"2,480원",X,1팩,150g,샛별배송/택배배송,냉동/종이포장
[빕스] 기네스 폭립,흑맥주의 풍미를 입은 이색 폭립,"12,720원",20%,1개,500g,샛별배송/택배배송,냉동/종이포장
[칠갑농산] 들깨 메밀 막국수,"고소한 들깨가루와 참깨, 김 고명까지!","4,900원",X,1팩,434g,샛별배송/택배배송,냉장/종이포장
[농심] 배홍동 멀티팩,입에 착 감기는 매콤달콤함,"2,870원",X,1봉,137g,샛별배송/택배배송,상온/종이포장
[삼립] 트러플 치킨 머핀,치킨 패티와 트러플 크림소스의 만남,"16,500원",X,1박스,155g,샛별배송/택배배송,냉동/종이포장
[다루마] 낫또,쫀쫀하고 오밀조밀한 식감,"2,430원",10%,1묶음,44.8g,샛별배송/택배배송,냉동/종이포장
[아임웰] 굿밸런스 볶음밥 2종,더 맛있게 즐기는 곤약 식단,"2,600원",X,1팩,200g,샛별배송/택배배송,냉동/종이포장
[악소] 햄치즈 브뢰첸 샌드위치 (3개입),누구나 반할 독일식 햄치즈 브뢰첸 샌드위치!,"11,900원",X,1팩,3봉입,샛별배송/택배배송,냉동/종이포장
[에스엔비] 1인 커리소스,원하는 재료를 넣어 만드는 나만의 카레,"1,900원",X,1팩,150g,샛별배송/택배배송,상온/종이포장
[정미경키친] 콘 샐러드,아삭한 식감의 옥수수 풍미가 그대로,"3,900원",X,1팩,130g,샛별배송/택배배송,냉장/종이포장
[풀무원] 탱탱쫄면 (4개입),튀기지 않아 부담 없는 매콤함,"4,980원",X,1봉,123g*4봉,샛별배송/택배배송,상온/종이포장
[포스트] 코코볼 570g,다섯 가지 곡물이 들어간,"3,860원",3%,해당사항없음,해당사항없음,샛별배송/택배배송,상온/종이포장
[미자언니네] 김치 우리콩 비지찌개,우리 콩과 우리 김치로 끓인,"7,830원",13%,1개,700g,샛별배송/택배배송,냉동/종이포장
[도제 LITE] 지단 부리또 3종,든든하면서도 편안한 키토 부리또,"5,500원",X,1개,160g,샛별배송/택배배송,냉장/종이포장
[보승] 한판모둠순대,내장을 함께 담은 알찬 구성,"3,500원",X,1팩,303g,샛별배송/택배배송,냉장/종이포장
[외할머니댁] 차돌 청국장,구수하고 따뜻한 한 그릇,"7,900원",X,1팩,600g,샛별배송/택배배송,냉동/종이포장
[쉐푸드] 제육에그참치 유부초밥,세 가지 고소함을 더한 유부초밥,"3,650원",X,1팩,234g,샛별배송/택배배송,냉장/종이포장
[스마일찬] 비빔짜장,따끈한 밥에 슥슥 비벼 먹는,"3,200원",X,1팩,200g,샛별배송/택배배송,냉장/종이포장
[창화당] 이북식 손 왕만두,슴슴한 매력으로 즐기는,"8,900원",X,1봉,560g,샛별배송/택배배송,냉동/종이포장
[마이디벨] 벨지안 프라이 디퍼,소스에 푹 찍어 즐기는 매력,"3,500원",X,1팩,400g,샛별배송/택배배송,냉동/종이포장
[킨더가든] 어린이 불고기 떡볶이 (540g),아이와 함께 먹는 떡볶이,"9,900원",X,1팩,540g,샛별배송/택배배송,냉장/종이포장
[두부씨의 건강한끼] 채소듬뿍 비빔 두부면 샐러드,탄수화물 걱정 없는 면 요리,"6,300원",X,1팩,210g,샛별배송/택배배송,냉장/종이포장
[목우촌] 두번 튀겨 더욱 바삭한 한입 돈까스,도톰하게 썰어 풍성한 식감 ,"5,720원",X,1팩,500g,샛별배송/택배배송,냉동/종이포장
국내산 원재료만 사용한 삼계탕,든든하게 즐기는 한 끼 보양식,"7,900원",X,1봉,800g,샛별배송/택배배송,상온/종이포장
[트리투바] 초콜릿 그래놀라,오도독 씹히는 초콜릿 조각,"9,900원",X,1개,150g,샛별배송/택배배송,냉장/종이포장
[미자언니네] 전복죽,국내산 완도 전복을 사용한,"12,006원",13%,1팩,500g,샛별배송/택배배송,냉동/종이포장
[집으로ON] 마무리 볶음밥 3종,고깃집에서 맛보던 별미 볶음밥! ,"1,990원",X,1봉,230g,샛별배송/택배배송,냉동/종이포장
[크레이브푸드] 단호박 후무스 200g,단호박을 만나 더 부드러운 맛,"5,300원",X,1팩,200g,샛별배송/택배배송,냉장/종이포장
[My little recipe] 중화풍 해물 돼지고기 덮밥 소스,든든함과 편리함을 고루 갖춘 소스,"6,500원",X,1봉,300g,샛별배송/택배배송,냉동/종이포장
[샘표국시] 비빔냉면,간편하게 즐기는 여름 별미,"1,400원",X,1개,145g,샛별배송/택배배송,상온/종이포장
[풀무원] 노엣지 베이컨 파이브 치즈피자,5가지 치즈의 진한 풍미,"6,980원",X,1개,376g,샛별배송/택배배송,냉동/종이포장
[빌라드서울] 진심 떡볶이,자꾸만 손이 가는 맵싸한 밀떡볶이,"3,900원",X,1팩,400g,샛별배송/택배배송,냉동/종이포장
[서울마님죽] 단팥죽,통팥이 살아있는 달달한 단팥죽,"3,000원",X,1팩,300g,샛별배송/택배배송,냉장/종이포장
[쉐푸드] 땡초 참치마요 삼각김밥,땡초의 알싸함을 더해 풍성한 맛,"1,200원",X,1개,112g,샛별배송/택배배송,냉장/종이포장
[그로서리서울] 배부른 현미 곤약밥 2종,"속을 든든하게, 마음은 가볍게 즐기는!","2,600원",X,1개입/4개입,140g/140gx4개,샛별배송/택배배송,상온/종이포장
[강남면옥] 사골떡만두국,따뜻하고 든든한 한 그릇,"8,800원",X,1팩,644g,샛별배송/택배배송,냉동/종이포장
[농심] 신라면블랙 (멀티팩),진한 국물과 푸짐한 건더기의 조화,"4,670원",X,1봉,134g,샛별배송/택배배송,상온/종이포장
[전주 베테랑] 김치만두,전주 유명 맛집의 인기 메뉴,"6,000원",X,1팩,420g,샛별배송/택배배송,냉동/종이포장
[풀무원] 국산콩 유부초밥,국내산 콩으로 만들어 담백한 맛,"3,980원",X,1봉,165g,샛별배송/택배배송,냉장/종이포장
[모던구루] 클래식 그래놀라 4종,건강한 재료로 완성한 고소함,"9,600원",X,1통,230g,샛별배송/택배배송,상온/종이포장
칼로리 라이스 3종(냉동),컬리플라워 라이스 기반의 식단 관리의 필수템,"4,500원",X,1봉,210g,샛별배송/택배배송,냉동/종이포장
[모노키친] 뽀모도로 스파게티,전자레인지 조리로 더욱 간편하게,"3,500원",X,1팩,300g,샛별배송/택배배송,냉동/종이포장
[고온어다이어트] 버섯불고기스크램블 & 야채필라프,풍성하고 다채로운 구성의,"3,700원",X,1팩,205g,샛별배송/택배배송,냉동/종이포장
포테토 크런치 치즈스틱,감자옷을 입은 바삭한 크런치 치즈스틱,"7,900원",X,1봉,600g,샛별배송/택배배송,냉동/종이포장
[3분포차] 직화오돌뼈구이,포장마차 대표 메뉴,"3,920원",20%,1개,150g,샛별배송/택배배송,냉동/종이포장
[마이디벨] 벨지안 케이준 프라이,짭조름한 양념을 더한 감자튀김,"3,600원",X,1봉,400g,샛별배송/택배배송,냉동/종이포장
[탐나는밥상] 노릇하게 지진 반달달걀지짐,달걀 반찬의 색다른 변신,"4,500원",X,1팩,230g,샛별배송/택배배송,냉장/종이포장
[모노키친] 인절미 꿔바로우,고소함을 더한 근사한 디너 메뉴,"7,200원",X,1팩,250g,샛별배송/택배배송,냉동/종이포장
[올반] 모짜체다 찰 핫도그,"모차렐라 치즈와 체다 치즈, 두 가지 맛을 동시에! ","8,380원",X,1봉,80g*5개입,샛별배송/택배배송,냉동/종이포장
[시즈널마켓] 뉴욕식 핫도그 5종,"육즙 가득한 소시지, 풍성한 토핑의 뉴욕식 핫도그!","3,135원",5%,1개,제품별상이(컨텐츠참조),샛별배송/택배배송,냉장/종이포장
[맛의고수] 통편육 250g,국내산 돈육으로 만든 통편육! ,"5,900원",X,1개,250g,샛별배송/택배배송,냉장/종이포장
[피그인더가든] 감자마요 스쿱샐러드 120g,간편하고 맛있게 즐기는 감자마요 샐러드(120g/1팩),"1,980원",X,1팩,120g,샛별배송/택배배송,냉장/종이포장
[존쿡 델리미트] 세인트루이스 립 텍사스 스타일 800g (소스포함) (냉동),살코기 두툼한 스페어 립과 바베큐 소스의 황홀한 조화(1상자/400gx2팩),"21,900원",X,1상자,800g(400g,샛별배송/택배배송,냉동/종이포장
[하이포크] 우거지 선지국,신선하고 얼큰한 국물맛,"7,900원",X,1봉,800g(해장국,샛별배송/택배배송,냉장/종이포장
[베지가든 : 맛있는 채식 일상] 바삭 탕수육,돼지고기 대체육과 식물성 재료로 만든 소스 까지!,"10,800원",X,1팩,500g,샛별배송/택배배송,냉동/종이포장
[위드진해] 소대창전골,진한 국물과 쫄깃한 식감,"19,500원",X,1펙,320g,샛별배송/택배배송,냉동/종이포장
[푸드렐라] 나쵸치킨,나쵸와 닭고기의 바삭한 만남 ,"5,150원",3%,PK,300g,샛별배송/택배배송,냉동/종이포장
[미자언니네] 일품 모듬 순대,고기와 채소를 듬뿍 넣은 순대,"7,743원",13%,1팩,400g,샛별배송/택배배송,냉동/종이포장
[21세기누들] 물냉면(2인분),평양식 냉면의 구수한 감칠맛,"5,900원",X,1팩,1106g,샛별배송/택배배송,냉동/종이포장
[폰타나] 액상수프 6종,유럽 정통 레시피로 즐기는,"2,230원",X,1팩,180g,샛별배송/택배배송,상온/종이포장
[아삭한컵] 코울슬로 100g,산뜻하게 입맛 돋워줄 컵샐러드,960원,20%,1개,100g,샛별배송/택배배송,냉장/종이포장
"[Kurly's] 간편하게 바삭, 순살 치킨",촉촉한 닭다리살과 바삭한 튀김옷의 조화,"6,900원",X,1팩,400g,샛별배송/택배배송,냉동/종이포장
[클레버토끼] 크레미&스윗펌킨 Family Bowl (어니언소스 포함),(푸짐한 패밀리 샐러드) 달콤하게 즐기는 한 끼 (1팩/300g),"6,500원",X,1팩,300g,샛별배송/택배배송,냉장/종이포장
[애슐리] 치즈 포테이토 딥디쉬 피자,세 가지 치즈와 풍성한 토핑,"7,900원",X,1개,436g,샛별배송/택배배송,냉동/종이포장
[비비고] 매운 왕교자 315g,매콤한 고추와 달콤한 갈비양념의 만남!,"4,300원",X,1개,315g,샛별배송/택배배송,냉동/종이포장
[카페프룻] 유기농 쌀로 만든 버섯 리조또 2종,유기농 쌀과 무항생제 닭가슴살로 만든 간편한 버섯 리조또,"4,900원",X,1개,250g,샛별배송/택배배송,냉동/종이포장
[모노키친] 갈릭크림 봉골레 스파게티,마늘의 풍미가 깃든 크림소스 스파게티,"3,500원",X,1팩,310g,샛별배송/택배배송,냉동/종이포장
[바비엔] 오징어 볶음 2종,쫄깃한 식감과 화끈한 매운맛,"8,900원",X,1팩,품목별,샛별배송/택배배송,냉동/종이포장
[톰볼라] 새우 라자냐,은근하게 입혀낸 바다의 감칠맛,"22,000원",X,1팩,430g,샛별배송/택배배송,냉동/종이포장
[마니커f&g] 바사삭 순살치킨,순살 치킨도 바삭하게,"6,980원",X,1봉,400g,샛별배송/택배배송,냉동/종이포장
[해화당] 해물부추납작만두,납작하게 빚어낸 해물의 감칠맛,"5,900원",X,1봉,360g,샛별배송/택배배송,냉동/종이포장
[My little recipe] 콩향이 가득한 얼큰안동국시 2인분 세트,매콤함을 더한 별미 국수,"10,500원",X,1팩,442g,샛별배송/택배배송,냉장/종이포장
[삼양] 삼양라면 5입,쫄깃한 면발과 진한 국물의 조화,"3,500원",X,1팩,120g,샛별배송/택배배송,상온/종이포장
[마켓컬리x차알] 계란볶음밥 (2인분),불맛 가득 고소학 중식 계란볶음밥,"4,900원",X,1팩,1팩(210g*2ea),샛별배송/택배배송,냉동/종이포장
[미자언니네] 단팥죽 (냉동),달콤하고 고소한 홈메이드 죽,"8,526원",13%,1팩,500g,샛별배송/택배배송,냉동/종이포장
[모노키친] 상해식 해물찹쌀누룽지탕,고급 중식도 데우기만 하면 완성,"9,900원",X,1팩,450g,샛별배송/택배배송,냉동/종이포장
[강창구찹쌀진순대] 찹쌀 진순대국,얼큰한 국물에 담긴 진한 풍미,"4,900원",X,1팩,600g,샛별배송/택배배송,냉동/종이포장
[켈로그] 오곡 첵스초코 스노우초코볼 230g,앙증맞은 초코볼이 더하는 달콤함,"3,200원",X,1상자,230g,샛별배송/택배배송,상온/종이포장
[도스타코스] 부리또 3종 (냉동),간편하게 완성하는 정통 멕시칸 음식,"3,500원",X,1봉,170g,샛별배송/택배배송,냉동/종이포장
[이태리돈까스] 바질크림파스타&함박,매콤한 바질크림파스타와 함박스테이크!,"6,500원",X,1팩,337g,샛별배송/택배배송,냉동/종이포장
[MY KITCHEN] 정통 미국식 포테이토 샐러드,딜 피클로 매력을 더한 감자,"3,900원",X,1통,180g,샛별배송/택배배송,냉장/종이포장
[모노키친] 차슈,감칠맛이 깃든 차슈 슬라이스,"9,900원",X,1팩,300g,샛별배송/택배배송,냉동/종이포장
[콜린스 다이닝] 시저샐러드,요리처럼 즐기는 고품격 한 끼 샐러드,"6,693원",3%,1통,240g,샛별배송/택배배송,냉장/종이포장
[세이면] 설렁탕,간편하게 후루룩 바로 먹는 숙면 설렁탕! ,"2,200원",X,1컵,194g,샛별배송/택배배송,상온/종이포장
[하코야] 돈카츠 커리,돈가스와 커리의 완벽 조화,"9,900원",X,1팩,566g,샛별배송/택배배송,냉동/종이포장
[라쿠치나] 이탈리아식 사각 피자 4종,모짜렐라 치즈가 들어간 알차게 즐기는 이색 피자,"3,200원",20%,1팩,제품별상이(하단참조),샛별배송/택배배송,냉동/종이포장
[위드진해] 기름 쏙 뺀 양념 즉석소대창구이,깔끔하게 즐기는 대창 구이,"17,005원",5%,1팩,380g,샛별배송/택배배송,냉동/종이포장
[네떼] 셀러리 스틱 170g,천연 살균수로 깨끗하게 씻은 셀러리 스틱(1팩/170g),"3,000원",X,1팩,170g,샛별배송/택배배송,냉장/종이포장
[키플] 스리라차 쉬림프 오믈렛,부드러운 오믈렛과 매콤한 소스가 매력적인,"7,500원",X,1팩,260g,샛별배송/택배배송,냉동/종이포장
[그래놀라하우스] 그래놀라 4종,도톰하게 뭉쳐 만든 수제 그래놀라!,"12,960원",4%,1통,300g,샛별배송/택배배송,상온/종이포장
[삼양] 라이트 불닭볶음면 5입,가볍게 즐기는 덜 자극적인 매운맛,"3,980원",X,1팩,110g,샛별배송/택배배송,상온/종이포장
[우주인피자] 멜팅 치즈,녹진한 치즈 퐁듀를 닮은 한 판,"11,900원",X,1개,419g,샛별배송/택배배송,냉동/종이포장
[풀무원] 꼬마 유부초밥,귀여운 한 입 크기 유부초밥,"2,771원",7%,1봉,145.5g,샛별배송/택배배송,냉장/종이포장